tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,director,writer,cast
tt0223897,Pay It Forward,2000,123,Drama,7.2,121219.0,Mimi Leder,Catherine Ryan Hyde,Kevin Spacey
tt0225071,Angel Eyes,2001,102,"Drama,Romance",5.7,24985.0,Luis Mandoki,Gerald Di Pego,Jennifer Lopez
tt0227445,The Score,2001,124,"Action,Crime,Drama",6.8,130695.0,Frank Oz,Daniel E. Taylor,Robert De Niro
tt0227538,Spy Kids,2001,88,"Action,Adventure,Comedy",5.6,121502.0,Robert Rodriguez,Robert Rodriguez,Alexa PenaVega
tt0227984,The 51st State,2001,93,"Action,Comedy,Crime",6.3,50121.0,Ronny Yu,Stel Pavlou,Samuel L. Jackson
tt0228750,Proof of Life,2000,135,"Action,Drama,Thriller",6.3,57966.0,Taylor Hackford,Tony Gilroy,Meg Ryan
tt0228786,Les rivières pourpres,2000,106,"Crime,Mystery,Thriller",6.9,63635.0,Mathieu Kassovitz,Jean-Christophe Grangé,Jean Reno
tt0230011,Atlantis: The Lost Empire,2001,95,"Action,Adventure,Animation",6.9,125816.0,Gary Trousdale,Tab Murphy,Michael J. Fox
tt0230030,Bedazzled,2000,93,"Comedy,Fantasy",6.1,108374.0,Harold Ramis,Peter Cook,Brendan Fraser
tt0230600,The Others,2001,101,"Horror,Mystery,Thriller",7.6,375977.0,Alejandro Amenábar,Alejandro Amenábar,Nicole Kidman
tt0230838,Sweet November,2001,119,"Drama,Romance",6.7,92318.0,Pat O'Connor,Herman Raucher,Keanu Reeves
tt0231775,Down to Earth,2001,87,"Comedy,Fantasy",5.4,24325.0,Chris Weitz,Elaine May,Chris Rock
tt0232500,The Fast and the Furious,2001,106,"Action,Crime,Thriller",6.8,396027.0,Rob Cohen,Ken Li,Vin Diesel
tt0233142,3000 Miles to Graceland,2001,125,"Action,Comedy,Crime",5.9,47705.0,Demian Lichtenstein,Richard Recco,Kurt Russell
tt0233469,Collateral Damage,2002,108,"Action,Drama,Thriller",5.5,76395.0,Andrew Davis,Ronald Roose,Arnold Schwarzenegger
tt0234215,The Matrix Reloaded,2003,138,"Action,Sci-Fi",7.2,607585.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves
tt0234829,Summer Catch,2001,104,"Comedy,Drama,Romance",5.0,16316.0,Michael Tollin,Kevin Falls,Freddie Prinze Jr.
tt0235060,Wo de fu qin mu qin,1999,89,"Drama,Romance",7.8,13590.0,Yimou Zhang,Shi Bao,Ziyi Zhang
tt0235198,Ôdishon,1999,115,"Drama,Horror,Mystery",7.1,84517.0,Takashi Miike,Ryû Murakami,Ryo Ishibashi
tt0235679,Gekijô-ban poketto monsutâ: Kesshô-tô no teiô,2000,93,"Action,Adventure,Animation",5.8,14616.0,Kunihiko Yuyama,Marc M.,Veronica Taylor
tt0235737,The Salton Sea,2002,103,"Crime,Drama,Mystery",7.0,31438.0,D.J. Caruso,Tony Gayton,Val Kilmer
tt0236027,Blinkende lygter,2000,109,"Action,Comedy,Crime",7.5,22964.0,Anders Thomas Jensen,Anders Thomas Jensen,Søren Pilmark
tt0236348,Josie and the Pussycats,2001,98,"Comedy,Music",5.6,23916.0,Harry Elfont,Deborah Kaplan,Rachael Leigh Cook
tt0236493,The Mexican,2001,123,"Adventure,Comedy,Drama",6.1,110493.0,Gore Verbinski,J.H. Wyman,Brad Pitt
tt0236640,Prozac Nation,2001,95,"Biography,Drama,Romance",6.2,18574.0,Erik Skjoldbjærg,Elizabeth Wurtzel,Christina Ricci
tt0236784,The Tailor of Panama,2001,109,"Comedy,Drama,Thriller",6.1,30306.0,John Boorman,John le Carré,Pierce Brosnan
tt0237534,Le pacte des loups,2001,142,"Action,Adventure,Drama",7.0,68506.0,Christophe Gans,Stéphane Cabel,Samuel Le Bihan
tt0237572,The Pledge,2001,124,"Crime,Drama,Mystery",6.8,62609.0,Sean Penn,Friedrich Dürrenmatt,Jack Nicholson
tt0238112,Captain Corelli's Mandolin,2001,131,"Drama,Music,Romance",5.9,35095.0,John Madden,Shawn Slovo,Nicolas Cage
tt0238380,Equilibrium,2002,107,"Action,Drama,Sci-Fi",7.3,337899.0,Kurt Wimmer,Kurt Wimmer,Christian Bale
tt0238546,Queen of the Damned,2002,101,"Drama,Fantasy,Horror",5.2,57780.0,Michael Rymer,Anne Rice,Aaliyah
tt0238552,Replicant,2001,100,"Action,Sci-Fi,Thriller",5.3,15197.0,Ringo Lam,Lawrence Riggins,Jean-Claude Van Damme
tt0238883,Brat 2,2000,122,"Action,Crime,Drama",7.7,16121.0,Aleksey Balabanov,Aleksey Balabanov,Sergey Bodrov
tt0238924,The Dangerous Lives of Altar Boys,2002,104,"Comedy,Drama",6.9,13950.0,Peter Care,Chris Fuhrman,Kieran Culkin
tt0238936,Devdas,2002,185,"Drama,Musical,Romance",7.5,44076.0,Sanjay Leela Bhansali,Sharat Chandra Chaterjee,Shah Rukh Khan
tt0239395,Cats & Dogs,2001,87,"Action,Adventure,Comedy",5.1,60968.0,Lawrence Guterman,John Requa,Alec Baldwin
tt0239948,Saving Silverman,2001,90,"Comedy,Crime,Romance",5.8,41429.0,Dennis Dugan,Hank Nelken,Jason Biggs
tt0239949,Say It Isn't So,2001,95,"Comedy,Romance",5.0,13514.0,J.B. Rogers,Peter Gaulke,Chris Klein
tt0240468,Kung Pow: Enter the Fist,2002,81,"Action,Comedy",6.2,47316.0,Steve Oedekerk,Steve Oedekerk,Steve Oedekerk
tt0240510,The Four Feathers,2002,132,"Action,Adventure,Drama",6.5,34811.0,Shekhar Kapur,A.E.W. Mason,Heath Ledger
tt0240772,Ocean's Eleven,2001,116,"Crime,Thriller",7.7,590033.0,Steven Soderbergh,George Clayton Johnson,George Clooney
tt0240890,Serendipity,2001,90,"Comedy,Romance",6.8,116652.0,Peter Chelsom,Marc Klein,John Cusack
tt0240900,Slackers,2002,86,"Comedy,Romance",5.3,14916.0,Dewey Nicks,David H. Steinberg,Devon Sawa
tt0240913,Sous le sable,2000,92,"Drama,Mystery",7.1,11055.0,François Ozon,François Ozon,Charlotte Rampling
tt0241025,Vanity Fair,2004,141,Drama,6.2,23086.0,Mira Nair,Matthew Faulk,Reese Witherspoon
tt0241303,Chocolat,2000,121,"Drama,Romance",7.3,195840.0,Lasse Hallström,Joanne Harris,Juliette Binoche
tt0241527,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy",7.6,807153.0,Chris Columbus,J.K. Rowling,Daniel Radcliffe
tt0241760,The New Guy,2002,88,Comedy,5.8,36761.0,Ed Decter,David Kendall,DJ Qualls
tt0242193,Bully,2001,108,"Biography,Crime,Drama",6.9,39358.0,Larry Clark,Jim Schutze,Brad Renfro
tt0242423,"Dude, Where's My Car?",2000,83,"Comedy,Mystery,Sci-Fi",5.5,142564.0,Danny Leiner,Philip Stark,Ashton Kutcher
tt0242445,Exit Wounds,2001,101,"Action,Crime,Thriller",5.6,36161.0,Andrzej Bartkowiak,Ed Horowitz,Steven Seagal
tt0242527,The Hole,2001,102,"Drama,Mystery,Thriller",6.2,47354.0,Nick Hamm,Guy Burt,Thora Birch
