director
Davis Guggenheim
Dax Shepard
Dean Craig
Dean DeBlois
Dean Devlin
Dean Fleischer Camp
Dean Israelite
Dean Parisot
Debbie Isitt
Debra Granik
Declan Donnellan
Dee Rees
Demian Lichtenstein
Demián Rugna
Denis Villeneuve
Denise Di Novi
Deniz Gamze Ergüven
Dennie Gordon
Dennis Dugan
Dennis Gansel
Dennis Hopper
Dennis Iliadis
Denys Arcand
Denzel Washington
Deon Taylor
Deran Sarafian
Derek Cianfrance
Derek Drymon
Derek Lee
Derek Tsang
Derick Martini
Derrick Borte
Dervis Zaim
Desiree Akhavan
Destin Daniel Cretton
Dewey Nicks
Dexter Fletcher
Diane English
Dibakar Banerjee
Diederik Van Rooijen
Dileesh Pothan
Dito Montiel
Divyang Thakkar
DK Welchman
Dome Karukoski
Domee Shi
Dominic Cooke
Dominic Sena
Dominik Moll
Dominique Rocher
Don Bluth
Don Cheadle
Don Coscarelli
Don Hall
Don Mancini
Don Roos
Don Scardino
Donald Petrie
Donato Carrisi
Dong-hoon Choi
Donovan Marsh
Doug Atchison
Doug Ellin
Doug Lefler
Doug Liman
Douglas Aarniokoski
Douglas McGrath
Dragan Bjelogrlic
Drake Doremus
Drew Barrymore
Drew Goddard
Drew Pearce
Duke Johnson
Duncan Jones
Duncan Skiles
Duncan Tucker
Durul Taylan
Dustin Hoffman
Duwayne Dunham
Dwight H. Little
Dylan Brown
Dylan Kidd
E. Elias Merhige
E.L. Katz
Ed Bye
Ed Decter
Ed Harris
Eddie Mensore
Edgar Wright
Edoardo Ponti
Eduardo Sánchez
Edward Bazalgette
Edward Berger
Edward Burns
Edward Norton
Edward Yang
Edward Zwick
Egor Abramenko
Eléonore Pourriat
Eli Craig
Eli King
Eli Roth
Elijah Bynum
Elise Durán
Elissa Down
Eliza Hittman
Elizabeth Allen Rosenbaum
Elizabeth Banks
Elizabeth Wood
Ella Lemhagen
Elliott Lester
Ellory Elkayem
Emerald Fennell
Emile Ardolino
Emilio Estevez
Emilio Martínez Lázaro
Emilis Velyvis
Emily Young
Emir Kusturica
Emma Seligman
Emmanuel Osei-Kuffour
Enki Bilal
Enrico Casarosa
Eran Creevy
Eran Kolirin
Eric Appel
Eric Bress
Eric Brevig
Eric D. Howell
Eric Darnell
Eric England
Eric Guillon
Eric Heisserer
Éric Lartigau
Eric Leighton
Eric Radomski
Eric Red
Eric Summer
Ericson Core
Erik Canuel
Erik Poppe
Erik Skjoldbjærg
Erik Van Looy
Ernest R. Dickerson
Ernie Barbarash
Eshom Nelms
Eskil Vogt
Espen Sandberg
Etan Cohen
Ethan Coen
Ethan Maniquis
Ethan Spaulding
Eugene Kotlyarenko
Eugenio Derbez
Eugenio Mira
Evan Goldberg
Evan Morgan
Evan Spiliotopoulos
Everardo Gout
Ewan McGregor
Ezel Akay
F. Gary Gray
Fabián Bielinsky
Fabio Guaglione
Fabrice du Welz
Farhad Safinia
Farhad Samji
Farhan Akhtar
Faruk Aksoy
Faruk Kabir
Fatih Akin
Fede Alvarez
Federico D'Alessandro
Fedor Bondarchuk
Félix Enríquez Alcalá
Felix Herngren
Felix van Groeningen
